epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,2053.3,0.299,0.21213,0.92163,0.82446,0.88339,0.91629,0.89005,0.21513,0.28292,0.79078,0.004654,0.004654,0.004654
110,2072.14,0.29947,0.21509,0.92337,0.91391,0.81864,0.92786,0.89976,0.21084,0.27914,0.78961,0.0046045,0.0046045,0.0046045
111,2090.98,0.29449,0.21002,0.919,0.91752,0.85648,0.94567,0.91638,0.20618,0.25203,0.78953,0.004555,0.004555,0.004555
112,2109.8,0.29857,0.20524,0.92318,0.91164,0.8292,0.9362,0.90702,0.20489,0.2547,0.78568,0.0045055,0.0045055,0.0045055
113,2128.44,0.29651,0.20809,0.92245,0.88668,0.86256,0.93868,0.90991,0.206,0.238,0.78191,0.004456,0.004456,0.004456
114,2147.3,0.29569,0.20677,0.91926,0.8594,0.86148,0.93438,0.9081,0.20303,0.24554,0.78382,0.0044065,0.0044065,0.0044065
115,2166.12,0.29179,0.20339,0.91701,0.85554,0.85356,0.92295,0.89562,0.20885,0.2507,0.78873,0.004357,0.004357,0.004357
116,2185.11,0.29108,0.20424,0.91624,0.77985,0.90724,0.90753,0.88229,0.20754,0.27859,0.78705,0.0043075,0.0043075,0.0043075
117,2204,0.28911,0.20402,0.91894,0.86258,0.81516,0.90923,0.88223,0.20826,0.29146,0.78626,0.004258,0.004258,0.004258
118,2222.87,0.28806,0.2004,0.91537,0.80558,0.86961,0.91002,0.88462,0.21293,0.30014,0.79057,0.0042085,0.0042085,0.0042085
119,2241.62,0.29613,0.207,0.92124,0.79472,0.85316,0.90566,0.88251,0.21336,0.31167,0.79195,0.004159,0.004159,0.004159
120,2260.36,0.29292,0.20345,0.92403,0.88641,0.82045,0.92503,0.89854,0.21395,0.2976,0.79357,0.0041095,0.0041095,0.0041095
121,2279.21,0.29466,0.20255,0.92028,0.83566,0.89052,0.93035,0.90142,0.22094,0.30337,0.79809,0.00406,0.00406,0.00406
122,2298.02,0.29401,0.20201,0.9207,0.878,0.84415,0.92643,0.90114,0.22112,0.31129,0.79721,0.0040105,0.0040105,0.0040105
123,2317.04,0.29357,0.20216,0.91988,0.93242,0.80508,0.92644,0.90137,0.22831,0.3118,0.79999,0.003961,0.003961,0.003961
124,2335.8,0.28606,0.19289,0.9157,0.79996,0.90888,0.91954,0.89667,0.22096,0.31667,0.79615,0.0039115,0.0039115,0.0039115
125,2354.68,0.2841,0.19627,0.91202,0.78596,0.94493,0.9199,0.89634,0.21454,0.30814,0.79041,0.003862,0.003862,0.003862
126,2373.66,0.28983,0.20135,0.91983,0.80003,0.92408,0.9229,0.90192,0.21019,0.29326,0.78723,0.0038125,0.0038125,0.0038125
127,2392.34,0.2897,0.20033,0.91463,0.82403,0.90452,0.92801,0.90559,0.21086,0.30259,0.78989,0.003763,0.003763,0.003763
128,2411.17,0.28755,0.1966,0.91898,0.84726,0.898,0.93534,0.91006,0.21192,0.28156,0.79281,0.0037135,0.0037135,0.0037135
129,2430.09,0.28792,0.19754,0.91243,0.84143,0.90249,0.93039,0.90384,0.21494,0.29713,0.7903,0.003664,0.003664,0.003664
130,2448.92,0.28553,0.1928,0.9168,0.81954,0.9021,0.90868,0.88654,0.21513,0.32762,0.79066,0.0036145,0.0036145,0.0036145
131,2467.81,0.28779,0.19649,0.92028,0.81916,0.8868,0.90417,0.88125,0.21233,0.31842,0.78891,0.003565,0.003565,0.003565
132,2486.71,0.28151,0.19127,0.91366,0.82215,0.87485,0.91265,0.89229,0.20958,0.29861,0.7871,0.0035155,0.0035155,0.0035155
133,2505.54,0.28378,0.18965,0.9131,0.81365,0.89918,0.90931,0.89077,0.20634,0.30121,0.78476,0.003466,0.003466,0.003466
134,2524.43,0.28422,0.19712,0.91312,0.80675,0.88787,0.9009,0.87823,0.20958,0.3004,0.78814,0.0034165,0.0034165,0.0034165
135,2543.31,0.28238,0.18901,0.91239,0.78738,0.85768,0.88895,0.86507,0.20926,0.31734,0.78905,0.003367,0.003367,0.003367
136,2562.14,0.2867,0.19563,0.91442,0.79932,0.86951,0.88914,0.86571,0.20711,0.32462,0.78895,0.0033175,0.0033175,0.0033175
137,2580.81,0.28089,0.19087,0.91196,0.80842,0.88478,0.90371,0.88022,0.20935,0.31395,0.78794,0.003268,0.003268,0.003268
138,2599.61,0.28319,0.18944,0.91469,0.82642,0.85711,0.90563,0.88426,0.20738,0.31773,0.78589,0.0032185,0.0032185,0.0032185
139,2618.68,0.27485,0.18463,0.91326,0.81846,0.86998,0.91741,0.89736,0.20127,0.29434,0.78247,0.003169,0.003169,0.003169
140,2637.55,0.28328,0.19032,0.91185,0.82855,0.88847,0.92228,0.90062,0.20192,0.27484,0.78127,0.0031195,0.0031195,0.0031195
141,2656.5,0.27959,0.18902,0.91451,0.83149,0.88783,0.92264,0.90068,0.20253,0.27885,0.78356,0.00307,0.00307,0.00307
142,2675.28,0.28562,0.19211,0.91407,0.85836,0.85573,0.92225,0.9004,0.20379,0.28107,0.78291,0.0030205,0.0030205,0.0030205
143,2693.98,0.28132,0.18582,0.91609,0.81663,0.87475,0.91329,0.89317,0.20431,0.30469,0.78478,0.002971,0.002971,0.002971
144,2713.03,0.27899,0.18611,0.91337,0.80259,0.86633,0.90084,0.87957,0.20946,0.33861,0.78786,0.0029215,0.0029215,0.0029215
145,2732.14,0.27471,0.18615,0.91221,0.80407,0.87898,0.9097,0.88713,0.21092,0.32847,0.78868,0.002872,0.002872,0.002872
146,2751.1,0.28083,0.18501,0.91412,0.79413,0.90866,0.90966,0.88732,0.20873,0.32711,0.7869,0.0028225,0.0028225,0.0028225
147,2769.86,0.28172,0.18612,0.91628,0.80528,0.8815,0.9046,0.87913,0.21039,0.33131,0.78877,0.002773,0.002773,0.002773
148,2788.69,0.27718,0.18726,0.91192,0.80889,0.87052,0.89748,0.87101,0.20922,0.33122,0.78735,0.0027235,0.0027235,0.0027235
149,2807.41,0.2776,0.18049,0.90671,0.80463,0.87438,0.89918,0.8771,0.20488,0.31778,0.78551,0.002674,0.002674,0.002674
150,2826.21,0.27873,0.18379,0.91688,0.83315,0.86052,0.9067,0.88614,0.2012,0.29722,0.78521,0.0026245,0.0026245,0.0026245
151,2844.96,0.27879,0.18115,0.91542,0.82905,0.87354,0.91173,0.89154,0.20371,0.29617,0.78703,0.002575,0.002575,0.002575
