epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
171,5129.05,0.26143,0.16024,0.91098,0.82188,0.88234,0.91867,0.89579,0.20668,0.34071,0.79487,0.001585,0.001585,0.001585
172,5158.99,0.26468,0.15749,0.91675,0.82039,0.88544,0.91817,0.89723,0.20558,0.33913,0.79376,0.0015355,0.0015355,0.0015355
173,5189.09,0.25853,0.161,0.91208,0.8161,0.8891,0.91516,0.89643,0.20387,0.33905,0.7933,0.001486,0.001486,0.001486
174,5219.05,0.25981,0.15974,0.91029,0.81851,0.88197,0.91314,0.89339,0.20358,0.34107,0.79377,0.0014365,0.0014365,0.0014365
175,5249.14,0.25689,0.15914,0.91333,0.82644,0.86863,0.91304,0.89442,0.20258,0.34211,0.79389,0.001387,0.001387,0.001387
176,5279.09,0.25588,0.15672,0.91077,0.83038,0.87245,0.91139,0.89222,0.20135,0.33362,0.79327,0.0013375,0.0013375,0.0013375
177,5309.03,0.25688,0.15516,0.91145,0.83512,0.86816,0.9089,0.88983,0.20138,0.33003,0.79389,0.001288,0.001288,0.001288
178,5339.23,0.25798,0.15842,0.91198,0.84618,0.86793,0.912,0.89236,0.19984,0.31916,0.79318,0.0012385,0.0012385,0.0012385
179,5369.15,0.25358,0.15583,0.91111,0.83083,0.87763,0.91225,0.89153,0.2027,0.32307,0.79582,0.001189,0.001189,0.001189
180,5399.21,0.25538,0.15672,0.91618,0.82962,0.88819,0.91372,0.89106,0.2028,0.32563,0.79605,0.0011395,0.0011395,0.0011395
181,5429.14,0.25411,0.15456,0.90792,0.83409,0.87961,0.914,0.8938,0.2024,0.32604,0.79564,0.00109,0.00109,0.00109
182,5459.04,0.25484,0.15421,0.9116,0.83363,0.87913,0.91381,0.89328,0.20144,0.32635,0.79465,0.0010405,0.0010405,0.0010405
183,5489.05,0.25597,0.15356,0.90827,0.83462,0.87338,0.91451,0.89573,0.20076,0.32356,0.79352,0.000991,0.000991,0.000991
184,5519.1,0.25348,0.15411,0.91161,0.83084,0.88272,0.91594,0.89629,0.20048,0.32007,0.79268,0.0009415,0.0009415,0.0009415
